inst#	actual	predicted	error	distribution	
1	2:1	2:1		0	*1
2	2:1	2:1		0	*1
3	2:1	2:1		0	*1
4	2:1	2:1		0	*1
5	2:1	1:0	+	*0.975	0.025
6	2:1	1:0	+	*1	0
7	2:1	2:1		0.344	*0.656
8	2:1	2:1		0	*1
9	2:1	2:1		0.018	*0.982
10	2:1	1:0	+	*0.981	0.019
11	2:1	2:1		0	*1
12	2:1	2:1		0	*1
13	2:1	2:1		0	*1
14	2:1	2:1		0	*1
15	2:1	1:0	+	*0.985	0.015
16	2:1	2:1		0	*1
17	2:1	2:1		0	*1
18	2:1	2:1		0	*1
19	2:1	2:1		0	*1
20	2:1	2:1		0	*1
21	2:1	2:1		0	*1
22	2:1	2:1		0.022	*0.978
23	2:1	1:0	+	*1	0
24	2:1	2:1		0	*1
25	2:1	1:0	+	*1	0
26	2:1	2:1		0.374	*0.626
27	2:1	2:1		0	*1
28	2:1	2:1		0	*1
29	2:1	2:1		0	*1
30	2:1	2:1		0	*1
31	2:1	1:0	+	*1	0
32	2:1	2:1		0	*1
33	2:1	1:0	+	*0.97	0.03
34	2:1	2:1		0.011	*0.989
35	2:1	2:1		0	*1
36	2:1	1:0	+	*0.987	0.013
37	2:1	2:1		0	*1
38	2:1	2:1		0	*1
39	2:1	2:1		0	*1
40	2:1	2:1		0	*1
41	2:1	1:0	+	*0.983	0.017
42	2:1	2:1		0	*1
43	2:1	1:0	+	*0.975	0.025
44	2:1	2:1		0.47	*0.53
45	2:1	2:1		0.408	*0.592
46	2:1	2:1		0.029	*0.971
47	2:1	2:1		0	*1
48	2:1	2:1		0	*1
49	2:1	2:1		0.001	*0.999
50	2:1	2:1		0	*1
51	2:1	2:1		0.415	*0.585
52	2:1	2:1		0	*1
53	2:1	2:1		0.017	*0.983
54	2:1	2:1		0.014	*0.986
55	2:1	2:1		0.013	*0.987
56	2:1	2:1		0.45	*0.55
57	2:1	2:1		0	*1
58	2:1	2:1		0	*1
59	2:1	1:0	+	*0.511	0.489
60	2:1	1:0	+	*0.513	0.487
61	2:1	2:1		0.013	*0.987
62	2:1	2:1		0	*1
63	2:1	1:0	+	*1	0
64	2:1	1:0	+	*0.987	0.013
65	2:1	2:1		0	*1
66	2:1	1:0	+	*0.546	0.454
67	2:1	2:1		0	*1
68	2:1	2:1		0	*1
69	2:1	2:1		0.021	*0.979
70	2:1	2:1		0	*1
71	2:1	2:1		0.011	*0.989
72	2:1	2:1		0	*1
73	2:1	2:1		0	*1
74	2:1	2:1		0	*1
75	2:1	2:1		0	*1
76	2:1	2:1		0.45	*0.55
77	2:1	2:1		0	*1
78	2:1	1:0	+	*1	0
79	2:1	1:0	+	*0.506	0.494
80	2:1	1:0	+	*0.653	0.347
81	2:1	2:1		0.013	*0.987
82	2:1	2:1		0.016	*0.984
83	2:1	2:1		0.474	*0.526
84	2:1	1:0	+	*1	0
85	2:1	1:0	+	*0.983	0.017
86	2:1	2:1		0.013	*0.987
87	2:1	2:1		0	*1
88	2:1	2:1		0	*1
89	2:1	2:1		0	*1
90	2:1	1:0	+	*0.983	0.017
91	2:1	2:1		0	*1
92	2:1	2:1		0	*1
93	2:1	2:1		0.013	*0.987
94	2:1	2:1		0.012	*0.988
95	2:1	1:0	+	*1	0
96	2:1	2:1		0	*1
97	2:1	1:0	+	*1	0
98	2:1	2:1		0	*1
99	2:1	2:1		0	*1
100	1:0	2:1	+	0	*1
101	1:0	2:1	+	0.499	*0.501
102	1:0	2:1	+	0	*1
103	1:0	1:0		*0.977	0.023
104	1:0	2:1	+	0.352	*0.648
105	1:0	1:0		*0.984	0.016
106	1:0	2:1	+	0.022	*0.978
107	1:0	1:0		*0.623	0.377
108	1:0	2:1	+	0	*1
109	1:0	1:0		*1	0
110	1:0	2:1	+	0.014	*0.986
111	1:0	2:1	+	0	*1
112	1:0	2:1	+	0.016	*0.984
113	1:0	2:1	+	0	*1
114	1:0	2:1	+	0.474	*0.526
115	1:0	1:0		*0.971	0.029
116	1:0	1:0		*0.973	0.027
117	1:0	2:1	+	0	*1
118	1:0	2:1	+	0.377	*0.623
119	1:0	2:1	+	0.014	*0.986
120	1:0	2:1	+	0.472	*0.528
121	1:0	1:0		*1	0
122	1:0	2:1	+	0.491	*0.509
123	1:0	1:0		*1	0
124	1:0	2:1	+	0.015	*0.985
125	1:0	1:0		*0.711	0.289
126	1:0	1:0		*1	0
127	1:0	1:0		*0.987	0.013
128	1:0	1:0		*0.711	0.289
129	1:0	1:0		*1	0
130	1:0	2:1	+	0.47	*0.53
131	1:0	2:1	+	0.029	*0.971
132	1:0	2:1	+	0.472	*0.528
133	1:0	2:1	+	0.007	*0.993
134	1:0	2:1	+	0	*1
135	1:0	1:0		*1	0
136	1:0	2:1	+	0.009	*0.991
137	1:0	2:1	+	0	*1
138	1:0	2:1	+	0.028	*0.972
139	1:0	2:1	+	0	*1
140	1:0	2:1	+	0.374	*0.626
141	1:0	1:0		*0.985	0.015
142	1:0	2:1	+	0	*1
143	1:0	2:1	+	0.014	*0.986
